Field Name,Description,Data Type,Comments
Name, , singleLineText, 
Label, , singleLineText, 
Data Service, , singleSelect, 
Data pipeline, , multilineText, 
Update process, , multilineText, 
Review process, , singleLineText, 
Contact, , singleLineText, 
Spatial Coverage, , singleLineText, 
Granularity, , singleLineText, 
Source, , singleLineText, 
Change, , singleLineText, 
Data suppression policy, , singleLineText, 
Temporal Coverage, , singleLineText, 
Update Frequency, , singleLineText, 
Editorial: Edit Data Source URL (from Metadata), , singleLineText, 
Data Warehouse, , singleLineText, 
Database, , singleLineText, 
Table, , singleLineText, 
Table URL, , url, 
Data Query, , singleLineText, 
Data Schema, , singleLineText, 
Tests, , multilineText, 
Build script, , url, 
Data Location, , singleLineText, 
Data Location (development), , singleLineText, 
Review Data Location, , url, 
Version, , singleLineText, 
Metadata, , singleLineText, 
Presentation (User Interface Element) (from Metadata), , singleLineText, 
UI code in Github (from Metadata), , singleLineText, 
Data Methodology, , multilineText, 
Notifications, , singleLineText, 
Image (from Metadata), , multipleAttachments, 
Function json, , singleLineText, 
Data Schema (Input), , url, 
Schedule, , singleLineText, 
Schedule (Human-readable), , singleLineText, 
Order, , singleLineText, 